,Bans per county,Abbr,POPESTIMATE2019,PERC_MALE,PERC_FEMALE,PERC_WHITE,PERC_BLACK,PERC_NATIVE,PERC_ASIAN,PERC_PACIFIC,PERC_NOTHIS,PERC_HIS,PERC_UNDER_12,PERC_UNDER_18,PERC_UNDER_25,PERC_UNDER_35,PERC_UNDER_45,PERC_UNDER_55,PERC_UNDER_65,PERC_UNDER_75,PERC_OVER_75,Total Funds for 2021 (in billions),Total Funds for 2020 (in billions),Estimated Population (2019),Latitude (of Capital),Longitude (of Capital),Funds Per Person (2021),Funds Per Person (2020),Normalized Funds 2021,Normalized Funds 2020
37,28.0,RI,1092875.0,0.4870227610659957,0.5129772389340044,0.8346508063593732,0.1003454191924968,0.0184742079377787,0.0432272675283083,0.0033022989820427,0.833904151892943,0.166095848107057,0.1293286057417362,0.0707821114034084,0.1049644286858057,0.1402200617636966,0.117631019100995,0.1258689237103969,0.1386233558275191,0.0980432345876701,0.0745382591787715,1.131,1.25,1059361.0,41.830914,-71.414963,1067.624728491987,1179.9565964765552,0.0270667974969951,0.0457793613138278
38,13.0,SC,5257910.0,0.4843435889925845,0.5156564110074155,0.6888288312276171,0.2756127434665104,0.011063521437225,0.0226713656186583,0.001823538249989,0.939197704030689,0.060802295969311,0.1458568138290689,0.0757420724204104,0.0917379719318132,0.1324086947094948,0.1196732161638369,0.123078561633805,0.1321785652474082,0.1092287619985887,0.0700953420655735,2.499,1.996,5148714.0,34.000343,-81.033211,485.36391805798496,387.6696200255054,0.059805417281159,0.0731004841459203
39,5.0,TN,6975736.0,0.487996535419345,0.512003464580655,0.785737304278717,0.1776096457778792,0.0110214893453536,0.0238882320087801,0.00174332858927,0.9415972737500388,0.0584027262499613,0.1495564052309319,0.0770129488845334,0.0905298021599441,0.1388120192621968,0.1232603986160026,0.1262087613407388,0.1294488495550863,0.0984625851666404,0.0667082297839253,3.725,2.648,6829174.0,36.16581,-86.784241,545.4539597321726,387.7482108377968,0.0891457300409433,0.0969789990072129
40,3.0,TX,29643613.0,0.4967176234556834,0.5032823765443166,0.7876623541131778,0.135308708827092,0.0163732740675031,0.0580289588856796,0.0026267041065473,0.6051844625012477,0.3948155374987522,0.1722911441328019,0.0873657674589126,0.0975184772517439,0.1473121376938769,0.1352630666174194,0.1214696737540056,0.111694110970886,0.0764470579210435,0.0506385641993099,15.814,11.243,28995881.0,30.27467,-97.740349,545.3878087028982,387.7447282943394,0.3784565301657657,0.4117578874010933
41,22.0,UT,3298054.0,0.5038634904097993,0.4961365095902008,0.904592526380708,0.0210945606105903,0.0223456013758416,0.0364839387105244,0.0154833729223354,0.8545287615060275,0.1454712384939725,0.1955741173431363,0.1003170354396865,0.1141891551806004,0.1473559862876714,0.1369841124493413,0.1010104746617247,0.092878406478487,0.0670519645827509,0.0446387475766012,1.377,1.25,3205958.0,40.777477,-111.888237,429.5128008539101,389.8990566938182,0.0329540054406386,0.0457793613138278
42,13.0,VA,8829898.0,0.492130033665168,0.507869966334832,0.6980248242958186,0.2077980968749582,0.0123688858013988,0.0792918559195134,0.0025163371083108,0.9007071202861007,0.0992928797138993,0.1498192844356752,0.0762826478856267,0.0949530787331858,0.1394103306742614,0.1292628748372857,0.1268973888486594,0.127948590119614,0.0918279010697518,0.0635979033959395,4.293,3.31,8535519.0,37.538857,-77.43364,502.9571136799063,387.7912989239436,0.1027389581384616,0.1212237487590162
43,15.0,VT,637214.0,0.4940553722925108,0.5059446277074892,0.9419378733047296,0.0204530973895739,0.0126927531410169,0.0239150426701233,0.0010012334945559,0.9783338093638873,0.0216661906361128,0.1200303194845059,0.0668911856927186,0.1065168059709924,0.1192958723442987,0.1137420081793557,0.124082333407615,0.1513981174299372,0.1191420778576742,0.0789012796329019,1.049,1.25,623989.0,44.262436,-72.580536,1681.1193787069965,2003.240441738556,0.0251043948491139,0.0457793613138278
44,36.0,WA,8026776.0,0.5005222520224808,0.4994777479775192,0.7865383312054554,0.0563493985630096,0.0329641689266026,0.1117382620369622,0.0124098392679701,0.8684955204929102,0.1315044795070897,0.1542600665572329,0.0752150053770031,0.088930848450237,0.1541586559784401,0.1336473074619249,0.1186179856021894,0.12226490436509,0.0931215720981873,0.0597836541096948,4.427,2.953,7614893.0,47.035805,-122.905014,581.3607623902267,387.792710941572,0.1059458112459747,0.1081491631677869
45,7.0,WI,5947323.0,0.4975974905011885,0.5024025094988115,0.8704845860902459,0.0759553499952836,0.0178571098290777,0.0344282629344328,0.0012746911509598,0.9275216765593528,0.0724783234406471,0.1454575445120434,0.078021489668545,0.0948699103781651,0.1273826896571785,0.1216922302689798,0.1214440513824455,0.1392942673535639,0.1005062277599518,0.0713315890191267,2.533,2.258,5822434.0,43.074684,-89.384445,435.0414276915805,387.81032125052855,0.0606190964278414,0.0826958382772986
46,26.0,WV,1826608.0,0.4955201115948249,0.5044798884051751,0.934210843267959,0.0456124138293492,0.0082869449821746,0.0110209743962579,0.0008688235242591,0.9819069006595832,0.0180930993404167,0.134454135753265,0.0713694454420433,0.086783261652199,0.1191914192864588,0.1185021635731366,0.1266297968693885,0.14060652312921,0.1198472797666494,0.082615974527649,1.355,1.25,1792147.0,38.336246,-81.612328,756.076370967337,697.4874270916392,0.0324275071692558,0.0457793613138278
47,28.0,WY,592490.0,0.5091309557967223,0.4908690442032777,0.9245236206518254,0.019188509510709,0.0371719353913146,0.0166956404327499,0.002420294013401,0.8965096457324174,0.1034903542675825,0.1559435602288646,0.0800367938699387,0.0918429003021148,0.1321861972353963,0.1274333744029435,0.1093368664450032,0.1343280055359584,0.1031376056979864,0.0657546962817937,1.068,1.25,578759.0,41.140259,-104.820236,1845.3276752499744,2159.7936273993146,0.0255590979016718,0.0457793613138278
48,,AZ,7511073.0,0.4969184828852016,0.5030815171147984,0.8262308194847794,0.0615761556304938,0.0610328244712839,0.0462081782456381,0.0049520221678047,0.6833755976010352,0.3166244023989648,0.152179189311567,0.0796938067304098,0.0967590116618491,0.1386544905102107,0.1224390975829951,0.115537686825837,0.1189361360221102,0.1011025987898133,0.0746979825652073,4.182,2.822,7278717.0,33.448143,-112.096962,574.5518063142173,387.70569043967504,0.1000825350419395,0.1033514861020978
49,,ND,780700.0,0.511844498526963,0.488155501473037,0.8697988984244909,0.0404803381580632,0.0661765082618163,0.0217215319584987,0.0018227231971307,0.957074420391956,0.042925579608044,0.1685282438836941,0.0740719866786217,0.1096720891507621,0.1504098885615473,0.1204803381580632,0.1013526322531061,0.1212194184706033,0.0858421929038042,0.0684232099397976,1.007,1.25,762062.0,46.82085,-100.783318,1321.41479302209,1640.2864858764772,0.024099261785565,0.0457793613138278
50,,SD,907592.0,0.5049559714056536,0.4950440285943464,0.8465566025262453,0.0299694135690927,0.1021229803700341,0.0195825877707163,0.0017684157639115,0.955969202020291,0.0440307979797089,0.1707176793096457,0.0815917284418549,0.0942009184743805,0.130079374873291,0.1186281941665418,0.1058526298160406,0.1305862105439448,0.0988869447945773,0.069456319579723,0.974,1.25,884659.0,44.367031,-100.346405,1100.989194706661,1412.9738125085485,0.0233095143784909,0.0457793613138278
